IDviis,FKey,VNr,Nr,voti,alter,tugiheli,korgus,tempo,takt,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,markusi,viis
68,245,2,,&,#f,g,b,,,2d,h,h,g,h,a,a,f[g],2c,a,a,f,a,g,g,g,,alg
69,246,1,,&,,g,,,,2d,2d,2c,h,2d,h,h,a,2c,h,a,g,h,g,g,g,,
70,247,1,,&,#f,g,g1=Fis,,,2d,2d,2d,2c,h,a,a,h,2c,h,2c,a,a,g,g,g,,
71,4492,1,,&,#f,g,h,84,24,g,d,2c,2c,h,a,g,e,e,d,d[h][a],a[f],a,f [a][a/f],g,g,,
72,4563,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,4563
74,248,1,,&,#f,g,,,,2d,h,g,g,h,a,f,a,2c,a,f,f,g,g,g,h,,
75,249,1,,&,#f,g,,,,2d,h,g,2d,h,g,g,g,2d,h,f,2d,h,g,g,g,,
76,250,1,,&,#f,g,,,,2d,h,g,2d,2c,a,f,a,2c,a,f,2d,h,g,g,g,,
77,251,1,,&,bh,f;a,,,,2c,a,2d,2c,h,g,g,a,2c,h,h,g,h,a,a,a,,
78,252,1,,&,#f;#c;#g,#c,,,,2e,2d,2c,2d,2e,2c,2c,2c,2d,2c,h,h,2e,2d,2c,2c,,252
79,253,1,,&,#f;#c;#g,a;#c,,,,2e,2d,2c,2d,2e,2c,2c,2c,2d,2c,h,h,2e,2d,2c,2c,,253
80,254,1,,&,#f;#c;#g,a;#c,,,,2e,2d,2c,2d,2e,2c,2c,2c,2d,2c,h,h,2e,2d,2c,2c,,254
81,255,1,,&,#f,g,,,,2d,h,2d,2e,2d,2c,a,2d,h,g,a,2c,h,g,g,g,,
82,256,1,,&,bh,f;g,,,,g[2c],a,h,2d,2c,a,h,g,2c,a,h,g,g,f,f,f,Viisi nr. 8 iseäralisus on see; et nad teises helitõus lõpevad kui selles; milles nad algasid. Viisi nr. 8 nimetas L. Lõikuse-lauluks. pag. 2488.,256
83,257,1,,&,bh,f;g,,,,g[2c],a,h,2d,2c,a,h,g,2c,a,h,g,g,f,f,f,Viisi nr. 8 iseäralisus on see; et nad teises helitõus lõpevad kui selles; milles nad algasid. Viisi nr. 8 nimetas L. Lõikuse-lauluks. pag. 2488.,257
84,258,1,,&,#f;#c,d,,,,f,g,h,g,a,f,f,a,g,e,e,g,f,d,d,d,,
85,259,1,,&,bh,f,,,,2c,a,2d,2c,h,a,f,a,2c,h,g,f,e,g,f,f,,
86,260,1,,&,,a;g,,,,g,h\2c,2d,h,2c,h,a,a,2e,h,2c,a,g,h,a,a,,260
87,261,1,,&,,a;g,,,,g,h\2c,2d,h,2c,h,a,a,2e,h,2c,a,g,h,a,a,,261
88,262,1,,&,,a;g,,,,g,h\2c,2d,h,2c,h,a,a,2e,h,2c,a,g,h,a,a,,262
89,263,1,,&,#f,h;g?,,1/8=240,,2d,2c,2d,2e,2e,2d,2d,h,2d,2c,2c,a,2e,2d,2d,h,,
90,264,1,,&,,c,,,,g,g,2c,2c,g,g,e,c,a,a,g,g,g,g,e[2c],c[2c],,
91,265,1,,&,#f,d,,,,g,g,f,d,g,e,d,1h,c,d,1h,1a,c,e,d,d,,
92,266,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,266
93,267,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,267
94,268,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,268
95,269,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,269
96,270,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,270
97,271,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,271
98,272,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,272
1,177,1,,&,,g,,,C,g,a,h,h,h,h,a,g,h,h,h,h[a],a[h],a,g,g,,
2,177,2,,&,#f;#c;#d,a,,,24,2d,2c,h,2c,2c[2d],h,a,h,2d,2c,h,2c\h,a,a,a,a,,
3,179,1,,&,#f,g,,Parajalt ruttu,2/4,a\h,h,h,a,h,g,g,g,a\h,h,h,a,a,g,g,g[d],,
4,180,1,,&,#f,g,,,2/4,h,a,2c,a,a,g,g,g,h,a,2c,h,a,g,g,g,,
5,181,1,,&,#f,g,,,2/4,g,g,g,h,2c,h,a,h,h,a,a,g,g,g,g,g,,
6,182,1,,&,#f,g,,,2/4,h,a,2c,h,h,a,2c,h,h,a,2c,h,a,g,g,1g,,
7,183,1,,&,#f,g,,,24,g,g,a,h,2c,h,a,a,2c[h],h,a,a,g,g,g,1g,,
8,184,1,,&,,g,,,24,g,a,2c,h,h,a,a,a,g,a,2c,h,h,a,a,g,,
9,185,1,,&,,a,,,24,2c,h,2c,h,2c,h,a,h,2c,h,2c\a,h,2c,h,a,a,,
10,186,1,,&,bh;be,g,,,C,g,a\h,2c,2c,2c,a,2c,h,h,g,h,h,a,g,g,g,,
11,187,1,,&,,a,,,,a,h,2c,a,a,h,h,g,h,h,2c,a,a,h,a,a,,
12,188,1,,&,,a,,,,a,h,2c,a,a,h,h,g,h,h,2c,a,a,h,a,a,,
13,189,1,,&,,c,,,24,c,e,c,e,d,c,d,e,d,e,c,e,d,c,c,c,[Tekstile lisatud rõhud viitavad skansioonile. E.T.],
14,190,1,,&,#f,g,,,24,g,h,h,g,a,a,g,g,h,h,h,g,a,h,g,g,,
15,191,1,,&,#f;#c;#g;#d,h; (e?),,,,h,h,h,2d,2e,2d,2c,h,2e,2d,2c,h,h,h,h,e,,
16,192,1,,&,#f,g; (h?),,,34,g,a,h,h,a,h,2c,2c,a,a,a,a,h,h,h,h,,
17,193,1,,&,,c,,,34,2c,2d,2e,2e,2d,2c,2d,h,2d,2c,h,2d,2d,2c,2c,2c,,
18,194,1,,&,,a,,,24,2c,h,2c,h,2c,h,a,h,2c,h,2c\a,h,2c,h,a,a,,
19,195,1,,&,,c,,,34,2c,2d,2e,2e,2d,2c,2d,h,2d,2c,h,2d,2d,2c,2c,2c,,
20,196,1,,&,,g,,,24,2c,2c,h,g,2c,a,h,g,2c,2c,h,g,a,g,g,g,,
21,197,1,,&,#f,a,,,24,#2c,#2c,a,h,#g,f,f,f,h,h,#g,h,2#c,a,a,a,,
22,198,1,,&,,a;g,,,48,a,2d,2d,a,2d\2c,a,2d,h,g,h\2c,2c,a,h,g,a,a,,
23,199,1,,&,#f,g,,176,48,g,h[a],h,h[a],2d,2c[h],h[a],a,2d,2c[h],h[a],a[2c],h,g,g,g,,
24,200,1,,&,#f,g,,,48,d,c,1h,d,g,g,g,g,a,g,f,a,g,g,g,g,,
25,201,1,,&,#f,g;h,,,4/8,h,2d,h,2d,a,a,a,a,a,2e,2d,2c,h,h,h,h,Laulab vahet tegemata; kas [RKM; II 208; 622] 6. või 7. viisil.,
26,202,1,,&,#f,g;h,,,4/8,h,a,h,2d,a,a,a,a,2c,h,2c,2e,2d,h,h,h,Laulab vahet tegemata; kas [RKM; II 208; 622] 6. või 7. viisil.,
27,203,1,,&,#f,g,,,,g,g,g,h,2d,2c,h,a,2c,h[a],h[a],a,g[a],g,g,g,,
28,204,1,,&,#f,g;h,,,24,h,2d,2d,a,2c,h,h,h[a],h,2d,2d,a,2c,h,h,g[h],,
29,205,1,,&,#f,e,,Aeglaselt,C,g,h,a,e\f,g,f,e,e,e,g,f,h,a,f,e,e,,
30,206,1,,&,,g,,,2/4,g,2c,2c,h,a,2c,h,a,a,g,h,a,g,g,g,g,lõikuse viis,
31,207,1,,&,#f,g;a,h1=cis,,24,h,h,2d,2d,h,h\2d[h\2c],2c[h],h,h,a,h,h,a,a,a,d[g],"[2. rea eelviimase silbi] peal pidas laulja pikemalt kinni; kuid [viimase silbi] peal veel pikemalt [kui ""hinge"" jätkus]. Sellepärast vaatasin nende kahe viimase tooni peale: 1. kui tooni peale; mida pikalt kinni peeti; 2-se peale; mida vabalt kinni peeti",
32,208,1,,&,#f,g,,,2/4,g,a,g,g,g,g,2c[a],h,a,2c,h,a,h,a,g,g,,
33,209,1,,&,bh;be,bh,,Moderato,,d,c,e,d,1h,d,c,1h,c,1h,e,d,1h,d,c,1h,,
34,210,1,,&,bh;be,bh,,Moderato,,d,c,e,d,1h,d,c,1h,c,1h,e,d,1h,d,c,1h,,
35,211,1,,&,bh;be,bh,,Moderato,,d,c,e,d,1h,d,c,1h,c,1h,e,d,1h,d,c,1h,,
36,212,1,,&,bh;be,bh,,Moderato,,d,c,e,d,1h,d,c,1h,c,1h,e,d,1h,d,c,1h,,
37,213,1,,&,,c,,,48,2e,2e,2d,2d,2c,2c,e,e,g,g,a[g],a[g],2c[g],2c[g],2c,2c,,
38,214,1,,&,#f,g;d,a,,24,g,g,a,f,e,d,d,e,f,f,g,f,e,d,g,g,,
40,215,1,,&,#f,g,,,48,h,h,g,g,e,e,a,a,a,a,f,f,d,d,g,g,,
41,216,1,,&,#f,g,,,48,h,h,g,f,e,e,a,a,a,a,f,e,d,d,g,g,,
42,217,1,,&,#f,g,,,48,h,h,g,g,e,e,a,a,a,a,f,f,d,d,g,g,,
43,218,1,,&,#f,g,a,,24,h,h,a,g,#f,e,d,d,d,d,h,a,a[h],g[a],g,g,,
44,218,2,,&,,g,b,,24,g,g,h,h,h,a,g,g[d],f,e,d,d,g,g,g,g,,
45,219,1,,&,b,f,,,24,2c,2c,a,a,g,g,f,f,c,c,c,c,f,f,f,f,,
51,225,1,,&,bh,f,,,24,f,f,2c,h,a,g,g,g,2c,h,a,g,g,f,f,f,,
52,226,1,,&,b,f,,,24,f,f,2c,h,a,g,g,g,2c,h,a,g,g,f,f,f,,
53,227,1,,&,bh,f,,!=100,,f,g,a,g,2c,h,2c,a,f,g,a,g,g,f,f,f,,
54,228,1,,&,,g,,,24,g,h,2d,2c,h,a\h,2c,h,a,h,a,a[g],g,g,g,g,,
55,233,1,,&,#f,g,,,24,h,h,2c,h[h\2c],2d,h[2c],h,h,h[2c],a,a,g,h,g,g,g,,
56,234,1,,&,bh,f,,,24,a,a,2c,a,a,a,g,g,g,g,h,g,g,g,f,f,,
57,235,1,,&,#f,g,,,,h,h,2d,2d,2d,2c,h,a,2d,h,a,h,g,g,g,g,,
58,236,1,,&,#f,g,,,,h,2d,2d,2c,h,2c,2c,h,a,h,h,a,g,g,g,g,,
59,237,1,,&,,g,,,,2d,2c,h,2c,2d,2c,h,a,2c,h,a,a,h,a,g,g,,
60,238,1,,&,,g,,,,2d,2c,h,2c,2d,2c,h,h,2c,h,a,a,h,a,g,g,,
61,239,1,,&,#f,g,,,,2d,h,2d,h,2c,a,a,h,2c,a,2c,a,h,g,g,g,,
62,240,1,,&,#f,g,,,,2d,h,2d,2d,2c,h,2d,2c,h,g,2c,h,h,g,g,g,,
63,241,1,,&,bh,f,g,,,2c,a,2c,2c,h,a,2c,h,a,f,h,a,g,f,f,f,,
64,242,1,,&,bh,f,,,,2c,a,2c,2c,bh,a,2c,h,a,f,h,a,g,f,f,f,,
65,243,1,,&,bh,f,,,,2c,a,2c,2c,h,a,2c,h,a,f,h,a,g,f,f,f,,
66,244,1,,&,#f,g,,,,2d,h,2d,2d,2c,a,2d,2c,h,g,2c,h,a,g,g,g,,
67,245,1,,&,#f,g,a,,,2d,h,h,g,h,a,a,g,a,a,2c[a],a[2c],a[2d],g[h],g[h],g[h],,
99,273,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,273
100,274,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,274
101,275,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,275
102,277,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,277
103,278,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,278
104,279,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,279
105,280,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,280
106,281,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,281
107,282,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,282
108,283,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,283
109,284,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,284
110,285,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,285
111,286,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,286
112,287,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,287
113,288,1,,&,,a,,,,a,a,2e,h,2c,h[2d],2c,h,2e,2d,2e\2d,h,2d,2c,a,a,,
114,289,1,,&,,a,,,,2c,2e,h,2c,2c\h,a,2e,2e,2e,2e,2d,2e,2c\h,a,a,a,,
115,290,1,,&,,a,,,,2c,2e,2e,2c,2c,h,2c,2e,2c,2c,h,2c,a,a,a,a,,
116,291,1,,&,bh;be,g,,,C,g,g,2d,2c,2d,2d,a,h,2c,2d,h,a,a,g,g,g,,291
117,292,1,,&,bh,g,,,C,g,g,2d,2c,2d,2d,a,h,2c,2d,h,a,a,g,g,g,,292
118,293,1,,&,bh,g,,,C,g,g,2d,2c,2d,2d,a,h,2c,2d,h,a,a,g,g,g,,293
119,294,1,,&,bh,g,,,C,g,g,2d,2c,2d,2d,a,h,2c,2d,h,a,a,g,g,g,,294
120,295,1,,&,,a,,,C,2d,2d,2d,2e,2e,2c,2c,2e,2d,2c,h,2c,2c,a,a,a,,295
121,296,1,,&,,a,,,C,2d,2d,2d,2e,2e,2c,2c,2e,2d,2c,h,2c,2c,a,a,a,,296
122,297,1,,&,bh;be,g,,,24,h,2d,2c,h,2d,h,a,g,h,2d,2c,a,h,g,g,g,,
123,4528,1,,&,bh; be,d,,,,f,d,f,f,f,d,c,d,g,e,d,c,d,d,d,d,originaalis on 2. takti viimane noot do. Fon. aga re.,
124,298,1,,&,#f,e,,,24,2c,2c,h,g,a,g,a,f,h,a,g,f,f,e,e,e,,
125,299,1,,&,,a,,Parajalt,,a,f\g,a,2d,2c,a,2c,2d,2e,2d\2c,h\2c,2d,h,g,a,a,,
126,300,1,,&,bh,g,,,,h,2d,2c,a,2c,a,h,2c,h,g,f,f,f,g[f],g,g,"Viis nr. 9-as ettetulev ""f"" 3- ja 4-ndas taktis on minu arvamise järele lihtsalt ""g"" mollis septime. (Septime der Hydorischen (Aeolischen) Tonart.). pag. 2488.",300
127,301,1,,&,bh,g,,,24,h,2d,2c,a,2c,a,h,2c,h,g,f,f,f,g[f],g,g,,301
128,302,1,,&,,a,,Parajalt,,2c,2e,h,2c,2c,h,2e,2e,2d,2e,h,2c,h,#g,a,a,,
129,303,1,,&,#f;#c,d,,,,f,g,a,g,f,e,f,d,d,e,g,e,e,d,f,d,,
130,304,1,,&,,a,,1/4=80,24-34,a,a,a,a,2c,2c,h/2c,2d,2c,2e,2d,a,2d,h,a,a,,
131,305,1,,&,,c,,,24,g,g,2c\h,a,g,e,g,g,d,d\e,f\e,d,c,e,g,g,,
132,306,1,,&,,a,,,38,2c,h,2c,h,h,a,a,h[a],2c,h,2c,h,h,a,a,a,,
133,307,1,,&,,a,,,24,2c,2c,a,2c,2d\2c,2c,a,2c,2c\h,a,h\2c,2c,2c,a,a,a,,
134,308,1,,&,,f,,,,f,a,2c,2f,2f,2c,2c,2c,h,g[a],g,h,a,f,f,f,,
135,309,1,,&,#f,e,,,48,e,a,a,e,a,g,g,f,f,e,e,d,f,e,e,e,,
136,309,2,,&,#f,e,,,88,e,a,a,a,e,g,g,g,g,f,f,f,d,f,e,e,,
137,311,1,,&,#f,g,,,,g,h,g,h,2d,2c\h,a,a,f,a,f,a,2c,h\a,g,g,,
138,311,2,,&,#f,g,,,58-38,g,h,g,h,2d,2c,h,a,f,a,f,a,2c,h,a,g,,
139,312,1,,&,#f,e,,,,e,g,h,h,h,a,f,f,h,a,g,f,g,e,e,e,,
140,313,1,,&,#f,e,,,24,e,f,g,e,g,g,e,e,g,g,f,d,f,f,e,e,1 takti esimine noot on pikem (alati) teiste suhtes [1/4+1/8; trioolina],
141,314,1,,&,,f,,,,f,g,a,2c,bh,a,g/f,g,h,a,g,2d,a,g,f,f,,
142,315,1,,&,,c,,,,e,c,e,c,e,d,d,d,d,d,e,d,d,c,c,c,,
143,316,1,,&,#f,g,,,,g,g,h,h,a,a,a,a,2d,2c,h,a,g,g,g,g,,
144,317,1,,&,#f,g,,,,g,g,2d,h,2c,a,a,a,2d,h,2c,a,g,g,g,g,,
145,318,1,,&,#f,g,,,,2d,2d/2c[2c],h,2c,2e,a,a,a,2e,2d,2c,a,g,h,h,h[2c],vt märkus kaardi I 857 pöördel!!!,
146,319,1,,&,#f;#c;#g,a,,,,2e,2e,2c,2d,2f,2d,2c,a,2e,2e,h,2c,2d,h,a,a,,
147,4529,1,,&,#f,d,,,,g,g,f,d,g,g,a,f,g,g,g,f,e,d,d,d,,
148,4530,1,,&,#f,g,,,,g,a,h,2c,a,g,h,a,g,a,h,2c,a,g,g,g,,
149,4531,1,,&,bh,f,,,,a,f,h,a,g,f,f,g,a,f,h,a,g,f,f,f,,
150,320,1,,&,#f,g,,,2/4,2d,2d,h,g,2c,2c,h,g,2c,2c,h,g,a,f,g,g,"Märkus: teine kord improviseerib teisiti ""Lilla istus vangitornis"" viisi moodi.",
151,321,1,,&,#f,g,,,2/4,2d,h,2d,h,h,a,a,a,a,h,2c,a,a,g,g,g,,
152,322,1,,&,#f,g,,192,48,g,h,g,h,h,a,a,a,f,a,f,a,a,g,g,g,,
153,323,1,,&,#f,g,,,6/8,g,a,h,2e,2d,2d,2d,2c,h,2d,a,h,g,g,g,g,,
154,324,1,,&,#f,g,,,48,2e,2e,2d,2d,2c,2c,e,e,g,g,a,a,g,g,g,g,,
155,325,1,,&,#f,g;h,,,,2d,2d,h,h,2d,2d,h,h,2c,2c,a,a,2d,2d,h,h,,
156,326,1,,&,#f,g,,,C,g,g,g,a,2c,h,g,a,h,g,a,g,g,g,g,g[d],,
157,338,1,,&,#f,g;h,,,2/4,2d,h,h,g,h\2c[2c][h],a,a,f,a,h\2c,2d,2e,2d,h,h,c,,
158,339,1,,&,,c,,,24,c,c,e,e,d,d,f,f,1h,d,f,1h,d,c,c,c,,
159,340,1,,&,,c;e,,,24,g,g,e,e,g,g,e,e,g,g,a,a,g,g,e,e,,
160,341,1,,&,,c,,1/4=160,,f,f,f,f,f,f,f,f,c,c,c,c,c,c,c,c,,
161,342,1,,&,,a;g,,,24,2c,2e,a,a,2c,h,g,g,h,2d,h,h,g,2c,a,a,,
162,343,1,,&,#f,g,,,48,g,a,h,a,2d,2c,h,a,2d,2c,h,a[2d],h,g,g,g,,
163,345,1,,&,#f,e,,1/4=208,,2c,h,a,2c,h,a,g,g,a,g,f,a,g,f,e,e,,
164,4532,1,,&,#f,g,,,,g,h,a/h,2c,h,g,h,a,g,h,a/h,2c,h,g,g,g,Karjapõlve laul,
165,4533,1,,&,,a,,,,2d,2d,2d,a,2c,2c,2c/h,a,2d,2d,2c,a,h[a],a[#g],a,a,,
166,4534,1,,&,,a;g,,,,g,g[a][h],h,a,g,h,a,2c,2c,h,2c,a,h,h,a,a,,
167,4535,1,,&,,g,,,,g,g,2c,h,2c,a,g,2c,2c,h,a,h,2c,a,g,g,,
168,4537,1,,&,,g,,,,g,a,h,2c[h/2c],2d,2c,h,a,h,h,a,a,a[g],g,g,g,,
169,4538,1,,&,,g,,,,g,a,h,h/2c[2d],2d,2c,h,a/h,2c,h,h,a,a,g,g,g,,
170,4538,2,,&,,g,,,,a,a,2c,2c/2d,2e,2d,2c,h,h,h,a,a,a,g,g,g,,
171,4539,1,,&,bh,f,,,,2c,2c,a,h,a,g,h,a,a,g,h,a,g,f,f,F,Üleskirjutaja märkus: edasi nagu nr. [EÜS IX 1181] 25.,
172,4540,1,,&,#f,g,,,,h,2d,2d,h,2d,2c,h,g,h,2d,2d,2d[2c],h,a,g,g,,
173,4541,1,,&,#f,g,,,,2d,h,g,g,h,a,f,f,2c,a,f,f,a,g,g,g,,
174,4542,1,,&,,g,,,,g,2d,2d,h,2c,a,a,f,f,2c,2c,a,h,g,g,g,,
175,346,1,,&,#f,g,,,,g,e,d,d,h,a,g,g,f,e,d,f,g,g,g,g,,
176,347,1,,&,#f,g,,,,h,h,h,2d,2d,2d,h,h,2c,2c,h,a,g,g,g,g,,
177,348,1,,&,#f,e,,,,e,f,g,f,a[e],e,e,e,g,e,e,e,e,e,e,e,,
178,349,1,,&,#f,g,,,,2d,2d,2d,2d,2e,2c,2c,2c,2c,2c,2c,2c,h,a,g,g,,
179,350,1,,&,#f,e,,,,e,a,a,f,g,e,e,e,e,g,g,f,f,e,e,e,,
180,351,1,,&,bh,g,,,24,g,g,a,2c,a,2c,a,a,g,g,a,h,a,h,g,g,,
181,352,1,,&,,a;g,,,24,2c,2c\g,a,h,2c,2c\g,a,h,2c,2c\g,a,h,a,g,g,g,,
182,353,1,,&,#f,g,,,24,g,g,2c,a,h,g,g,g,g,g,a,f,a,g,g,g,,
183,354,1,,&,#f,g,,,24,g,h\a,f,a,f,g,h,a,a,h\a,f,a,f,g,g,g,,
184,355,1,,&,#f,e,,,48,d,d,g,f,g,f,e,e,d,d,g,f,g,f,e,e,,
185,356,1,,&,,g,g1=e,,,g,a,2c,h,2c[2c/h],a,h[2c/a],a,a,h,2c,a,h[a],g,g,g,,
186,357,1,,&,,e,,,,e,e,a,f,#g,e,e,e,e,#d,f,#d,f,e,e,e,[Kas on ununenud #f??? Siis saaks 3 dieesi võtmemärkideks panna? E.T.],
187,358,1,,&,#f,g,,,24,a,h,2c,2c,h,a,g,g,2c,2c,h,a,g,g,g,g,,
188,359,1,,&,,g,,,24,g,2c,2c,h,2c,a,g,g,2c,2c,h,a,g,g,g,g,,
189,360,1,,&,#f,g,,vt märkust,24,g,g,2c,a,h,f,g,g,g,g,a,g,a,f,g,g,[alguses tempo: Parajas rutulises tempos. Refrääniks sama viis tempoga Ruttu; lauldakse kaks korda. ],
190,361,1,,&,,g,,,C,g,g,h,g,g,g,a,g,g,g,a,h,2c,2c,h,g,,
191,362,1,,&,#f,g,,,,g,g,a,h,2c,h,h[h\a],a,2c,h,a,g,a,g,g,g,vt. märkused pag. 1401/6. [lisaks suur hulk viisivariante.],
192,363,1,,&,bh;be,g,,Kindel tempo,24,g,g,g,h[a\h],2c,h,a,2c,h,a,a,h,h[g],g,g,g,,
193,364,1,,&,bh,g,,,,h,h,g,g,h,g,g,g,2c,2c,h,a,h,g,g,g,recitativ. [edasi vähe segane rütm. E.T.],
194,365,1,,&,,d,,,24,g,g,g,g,g,f,e,d,f,f,f,f,f[e],e[d],d,d,,
195,366,1,,&,,d,,,24,g,g,g,g,f,e,d,d,f,f,f,f,e,d,d,d,,
196,367,1,,&,bh;be,c,,,24,f,f,f,f,e,d,c,d,e,f,e,d,e,c,c,c,,
197,368,1,,&,,c,,,,c[d],e,c,e,c,e[f],f,f,e,e,c,e,c,d,d,d,Fon. Esimise värsi algab do-ga; teised re-ga. 1. värsi 2. taktis on teine noot fa.,
198,369,1,,&,#f,e,,,,e,d,a,f,g,e,e,e,e,g,e,f,e,e,e,e,,
199,370,1,,&,#f;#g,e,,,54,e,e,a,a,f,f,f,f,e,f,a,a,g,g,e,e,,
200,372,1,,&,bh,f,,,,h,h,g,h,a,g,g,f,g,g,f,g,g,g,f,f,Viisi nr. 14 rütmilised muutused tulevad 5/8+3/8; ehk 3/8+5/8 kujul (teksti järele) ette. Olen ühe neist teisele poole üleskirjutanud. pag. 2489.,
201,373,1,,&,#f,g,,,24,2c,2c,a,2c,h,g,g,g,h,h,g,h,h,a,f[f-bekaar],g,[15. silpnoot] madal -- mõnikord fa-bekaar. (pag. 1264). Vt kaart EÜS VIII 2507 (41).,
202,375,1,,&,#f,e,,,,e,e,g,g,f,e,g,f,e/f,g,g,f,g,f,e,e,,375
203,375,2,,&,#f,e,,,,e,e,g,g,g,f,f,f,e,e,f,e,f,e,e,e,,375
205,378,1,,&,#f,e,,,,e,e,g,g,f,e,g,f,e/f,g,g,f,g,f,e,e,,378
206,379,1,,&,#f,e,,,24,e,a,a,g,g,e,e,e,e,g,g,f,f,e,e,e,Hiljem jätkub laul samanimelises ma?ooris. [vt viis nr 2],
207,380,1,,&,,a,,,,a,2d,2d,2c,2c,a,a,a,a,2c,2c,h,h,a,a,a,Ukse taga:,
208,381,1,,&,,g;a,,pikalt,,a,2c,h,a,2c,h,g,g,g,2c,h,a,g,a,g,g,Kadrid ukse taga:,
209,382,1,,&,#f,g,,Pikas tempos/Ruttu,,g,h,h,a,h,g,g,g,f,a,a,f,a,g,g,g,NB. Mardisandi laul lauldi enne - pikas tempos - ukse taga; kui sisse minemiseks luba saadi siis jatkati laulu tuas: õnne soovides jne. Pärast algas tants sõnadega: Hops; hops ehk ups; ups; rutulises galopi sarnases tempos. Venitused kadusivad.,
210,383,1,,&,#f,g,,,68,h,h,h,a,h,h,a,g,h,h,h,a,a,g,g,g,,
211,383,2,,&,#f,g,,,68,h,h,a,a,a,g,g,g,h,h,h,a,a,g,g,d,,
212,384,1,,&,bh,g,,Parajalt,24,2c,2c,h,a,h,a,g,g,h,h,a,g,a,a,g,g,,
213,385,1,,&,bh,f,,Ruttu,24,h,h,a,a,g,g,f,f,h,h,a,a,g,g,f,f,...lauldakse tantsides,
214,386,1,,&,#f,g,,,C,h,2d,h,2c,2d,2c,h,a,h,2d,h,2c,a,g,g,g,,
215,387,1,,&,#f,d,,,24,d,e,f,f,e,e,d,d,g,g,f,a,e,e,d,d,,
216,388,1,,&,#f,g,,,C,h,2d,h,2c,a,2c,a,g,a,2c,a[g],h[g],g,g,g,g,,388
217,389,1,,&,#f,g,,,C,h,2d,h,2c,a,2c,a,g,a,2c,a[g],h[g],g,g,g,g,,389
218,390,1,,&,bh,f,,,C,a,f,a,f,h,a,g,g,h,g,h,2c,a,g,f,f,,
219,391,1,,&,#f,g,,,24,h,h,2d,h,h,a,a,h,2d,h,a,a,a,g,g,g,,
220,392,1,,&,#f,g,,,24,h,2c,2d,2d,2d,h,a,h,2d,h,a,a,g,g,g,g,,
221,393,1,,&,,c,,,C,c,e,e,e,g,e,d,c,c,e,e,e,d,c,c,c,,
222,394,1,,&,#f,g,,,24,2d,2d,2c,h,2d,h,a,a,h,h,a,g,h,g,g,g,,
223,395,1,,&,bh,f,,,24,f,f/a,h,a,2c,a[h],a,a,h,g,f[g],f,f,f,f,f,,395
1748,1811,3,,&,#f,g,,,,g,h,2d,2d,2c,a,h,g,f,a,2c,a,f,a,g,g,,
2405,2369,1,,&,,a;g,,,44,2d,a\h,2d,2d,2c,a\h,a,g,2c,a\h,2c,2c,h,a,a,a,,
2406,2370,1,,&,#f,g,,,,a,a,a,a,a,g,f,e,g,g,g,g,f,e,d\f,f,,
2407,2371,1,,&,#f,g,,,24,2d,h,2c,a,g[h],h[g],2d,2d,2c,a,h,a,g,h,2d,2d,,
