IDviis,FKey,VNr,Nr,voti,alter,tugiheli,korgus,tempo,takt,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,markusi,viis
4381,4282,1,,&,#f,g,g¹=d¹,,,g,f/a,g,d,h,a/2c[#a/2c],h,g,2d,2d/2e[2c#/2e],2d,2c,h,a,g,g,,
4382,4283,1,,&,bh;be,g,g¹=h,,,2d,2d,2c,2e,2d,2d,a,h,2c,2c,h,g,a,a,g,g,,
4383,4284,1,,&,bh;be,g,g¹=c,,,2d,2d,2c,2e,2d,2d[2d/h],a,h,2c,2c,h,g,a,a,g,g,,
4384,4285,1,,&,#f,g,g¹=b,,,h,h,a,2c,h,a,g,g,h,a,f[a],g[f][a],a,g,g,g,,
4385,4286,1,,&,,g,g¹=a,,,g,g,2c,2c,h,a,a,a,f,f,a,a,a,g,g,g,Laulus teksti 7 rida; viimane rida: g-g-2d-2c-2c-h-h-h.,
4386,4287,1,,&,#f,g,,,,h,h,2d,2d,a,a,a,a,2c,2c,2e,2d,g,g,g,g,,
4387,4287,2,,&,#f,g,,,,2d,2d,2d,2d,a,a,a,a,2d,2d,2e,2d,g,g,g,g,,
4388,4288,1,,&,#f,g,,,,h,h,2d,2d,a,a,a,a,2c,2c,2e,2d,g,g,g,g,,
4389,4288,2,,&,#f,g,,,,2d,2d,2d,2d,a,a,a,a,2d,2d,2e,2d,g,g,g,g,,
4390,4289,1,,&,#f,g,,,,h,h,2d,2d,a,a,a,a,2c,2c,2e,2d,g,g,g,g,,
4391,4289,2,,&,#f,g,,,,2d,2d,2d,2d,a,a,a,a,2d,2d,2e,2d,g,g,g,g,,
4392,4290,1,,&,,c,,,,2c,2c,2d,h,2c,2c,2d,h,2c,2c,2d,2e/2d,2c,h,2c,2c,,
4393,4291,1,,&,#f,g,,,,2d,h,g,g,g,d,a,a/h,2c,a,f,d,g,g,g,h,,
4394,4292,1,,&,#f,g,,,,2d,h,g,g,g,d,a,a/h,2c,a,f,d,g,g,g,h,,
4395,4293,1,,&,bh,a,,,,a,h,2d,2d,2d,2d,2c,a,a[2c],h,2c,2d[2d/2c],h,a,a,a,,
4396,4294,1,,&,bh,a,,,,a,h,2d,2d,2d,2d,2c,a,a[2c],h,2c,2d[2d/2c],h,a,a,a,,
4397,4295,1,,&,bh,f/a?,,,,f,a,2c,2d,2c,a,2c,a,g[2c],a,h,h,a[h],a[2c],a,a,,
4398,4296,1,,&,#f,e,,,,g,h,h,g,g,e,d,f,f,a,a,f,f,e,e,e,,
4399,4297,1,,&,#f,f/a?,,,,g,h,h,g,g,e[f],d[f],f[d],f,a,a,f,f,e,e,e,,
4400,4298,1,,&,#f,g,,,,g,g,f[e],f[e],g[a],f,g,a,g,g,f,d,g,g,g,g,,
4401,4299,1,,&,#f,g,,,,g,g,a,g,f,g,a,a,h,a,g,g/a,h,a,g,g,,
4402,4300,1,,&,,a,,,,a,h,2c,a,2c,h/a,g,e,a,h,2c,2d,2,e,2d/2c/h/2c,a,,
4403,4301,1,,&,,h,,,,h,h/2c,2d,2d,h,h/2c,2d,2d,2e,h,2e/2d/2c,h,h,2c,h,h,,
4404,4302,1,,&,bh,f,,,,f,f/a,g,g,f,f,g,g,a,a/2c,h,h,a,a,g,f,Takti lõpus g ja f tulevad laulda pool recitativ laadi.,
4405,4303,1,,&,,g,,,,h,a,h,2c,2c,h,a,h[a/h],h,a,a[g],g,g,g,g,g,Märkused vt. pag. 2502,
4406,4304,1,,&,#f,a,,,,2d,2d,2d,2c,2c,a,a,h,2d,2c,2c,h,h,a,a,a,,4304
4407,4305,1,,&,#f,a/g?,,,,2d,2d,2d,2c,2c,a,a,h,2c,2c,2c,h,h,a,a,a,,4305
4408,4306,1,,&,#f,a/g?,,,,2d,2d,2d,2c,2c,a,a,h,2d,2c,2c,h,h,a,a,a,,4306
4409,4307,1,,&,#f,a/g?,,,,2d,2d,2d,2c,2c,a,a,h,2d,2c,2c,h,h,a,a,a,,4307
4411,4308,2,,&,#f,g,,,,2d,h,2e,2d,2c,a,a,f[d],2d,h,a,g,g,g,g,g,,4308
4412,4309,1,,&,#f,g,,,,2d,h,2e,2d,2c,a,a,f[d],2d,h,h/2c,a,a,g,g,h,[viimasel silpnoodil] armastas laulja enam [h kui g]. Vt märkus pag. 2502.,4412
4413,4309,2,,&,#f,g,,,,2d,h,2e,2d,2c,a,a,f[d],2d,h,a,g,g,g,g,g,,4413
4414,4310,1,,&,#f,g,,,,2d,h,2e,2d,2c,a,a,f[d],2d,h,h/2c,a,a,g,g,h,[viimasel silpnoodil] armastas laulja enam [h kui g]. Vt märkus pag. 2502.,4414
4416,4311,1,,&,#f,a;g,,,,h,2d,2d,h,2c,a,h,a[2d],a,2c,2c[h],a,h[2c],a,a,a,,4311
4417,4312,1,,&,bh,f,,,,a,2c,a,a,a,g,g,g,g,h,g,g,g,e,f,f,,4312 Z
4418,4313,1,,&,bh,f,,,,a,2c,a,a,a,g,g,g,g,h,g,g,g,e,f,f,,4313 Z
4419,4314,1,,&,,a,e²=d,,,2e,2d,2e,2f,2e,2d,h,2c,2e,2d[2e/2d],h,h,h[2c],a,a,2c[a],,
